Date,spi1,spi2,
01-01-1901,1,54,
02-01-1901,0,71,
03-01-1901,0,29,
04-01-1901,0,77,
05-01-1901,0,36,
06-01-1901,-1,14,
07-01-1901,0,39,
08-01-1901,1,14,
09-01-1901,0,76,
10-01-1901,0,24,
11-01-1901,0,42,
12-01-1901,0,52,
01-01-1902,0,6,
02-01-1902,0,51,
03-01-1902,0,99,
04-01-1902,0,23,
05-01-1902,0,16,
06-01-1902,0,22,
07-01-1902,0,85,
08-01-1902,0,65,
09-01-1902,0,17,
10-01-1902,0,14,
11-01-1902,0,1,
12-01-1902,0,69,
01-01-1903,0,14,
02-01-1903,-1,4,
03-01-1903,0,78,
04-01-1903,-1,6,
05-01-1903,0,5,
06-01-1903,0,81,
07-01-1903,-1,13,
08-01-1903,0,36,
09-01-1903,0,24,
10-01-1903,2,17,
11-01-1903,0,42,
12-01-1903,0,59,
01-01-1904,0,4,
02-01-1904,0,9,
03-01-1904,1,32,
04-01-1904,0,95,
05-01-1904,1,11,
06-01-1904,0,8,
07-01-1904,1,12,
08-01-1904,0,64,
09-01-1904,0,34,
10-01-1904,0,64,
11-01-1904,1,49,
12-01-1904,1,65,
01-01-1905,0,98,
02-01-1905,0,75,
03-01-1905,0,64,
04-01-1905,0,4,
05-01-1905,0,17,
06-01-1905,-1,36,
07-01-1905,-1,21,
08-01-1905,-1,92,
09-01-1905,0,4,
10-01-1905,-1,26,
11-01-1905,0,42,
12-01-1905,0,3,
01-01-1906,0,78,
02-01-1906,1,73,
03-01-1906,0,98,
04-01-1906,-1,14,
05-01-1906,0,72,
06-01-1906,1,89,
07-01-1906,0,4,
08-01-1906,0,75,
09-01-1906,1,1,
10-01-1906,0,9,
11-01-1906,0,42,
12-01-1906,0,32,
01-01-1907,0,16,
02-01-1907,1,76,
03-01-1907,0,79,
04-01-1907,1,92,
05-01-1907,0,9,
06-01-1907,-1,53,
07-01-1907,0,7,
08-01-1907,0,22,
09-01-1907,-4,16,
10-01-1907,-1,69,
11-01-1907,0,42,
12-01-1907,0,87,
01-01-1908,0,6,
02-01-1908,0,5,
03-01-1908,0,65,
04-01-1908,0,33,
05-01-1908,0,3,
06-01-1908,0,47,
07-01-1908,0,84,
08-01-1908,1,39,
09-01-1908,-1,41,
10-01-1908,-1,26,
11-01-1908,0,7,
12-01-1908,0,32,
01-01-1909,0,32,
02-01-1909,0,35,
03-01-1909,-1,3,
04-01-1909,3,46,
05-01-1909,0,85,
06-01-1909,1,44,
07-01-1909,1,5,
08-01-1909,0,97,
09-01-1909,0,22,
10-01-1909,0,9,
11-01-1909,0,42,
12-01-1909,1,78,
01-01-1910,0,1,
02-01-1910,0,8,
03-01-1910,-1,46,
04-01-1910,0,48,
05-01-1910,0,42,
06-01-1910,0,43,
07-01-1910,-1,53,
08-01-1910,0,32,
09-01-1910,0,71,
10-01-1910,1,96,
11-01-1910,1,3,
12-01-1910,0,59,
01-01-1911,1,84,
02-01-1911,-1,35,
03-01-1911,1,4,
04-01-1911,0,71,
05-01-1911,-1,89,
06-01-1911,0,12,
07-01-1911,-2,89,
08-01-1911,-1,25,
09-01-1911,1,61,
10-01-1911,0,16,
11-01-1911,2,58,
12-01-1911,0,52,
01-01-1912,0,68,
02-01-1912,0,36,
03-01-1912,0,21,
04-01-1912,0,12,
05-01-1912,0,45,
06-01-1912,-1,37,
07-01-1912,0,2,
08-01-1912,0,16,
09-01-1912,1,6,
10-01-1912,-1,37,
11-01-1912,1,6,
12-01-1912,0,3,
01-01-1913,-1,7,
02-01-1913,1,1,
03-01-1913,1,22,
04-01-1913,0,36,
05-01-1913,2,19,
06-01-1913,0,97,
07-01-1913,-1,47,
08-01-1913,-1,81,
09-01-1913,-1,94,
10-01-1913,0,96,
11-01-1913,0,7,
12-01-1913,0,38,
01-01-1914,-1,79,
02-01-1914,0,15,
03-01-1914,1,37,
04-01-1914,1,4,
05-01-1914,1,38,
06-01-1914,0,37,
07-01-1914,0,93,
08-01-1914,0,48,
09-01-1914,0,76,
10-01-1914,0,6,
11-01-1914,0,69,
12-01-1914,0,87,
01-01-1915,0,5,
02-01-1915,1,68,
03-01-1915,1,99,
04-01-1915,0,55,
05-01-1915,0,29,
06-01-1915,0,13,
07-01-1915,0,46,
08-01-1915,0,1,
09-01-1915,0,1,
10-01-1915,0,19,
11-01-1915,0,42,
12-01-1915,0,22,
01-01-1916,-1,79,
02-01-1916,0,4,
03-01-1916,-1,46,
04-01-1916,0,18,
05-01-1916,0,16,
06-01-1916,1,17,
07-01-1916,0,62,
08-01-1916,1,1,
09-01-1916,0,89,
10-01-1916,0,85,
11-01-1916,0,88,
12-01-1916,0,87,
01-01-1917,0,11,
02-01-1917,0,71,
03-01-1917,0,45,
04-01-1917,1,33,
05-01-1917,2,7,
06-01-1917,0,65,
07-01-1917,0,6,
08-01-1917,0,5,
09-01-1917,1,28,
10-01-1917,1,28,
11-01-1917,0,42,
12-01-1917,0,6,
01-01-1918,0,32,
02-01-1918,-1,26,
03-01-1918,0,39,
04-01-1918,0,24,
05-01-1918,0,38,
06-01-1918,0,36,
07-01-1918,-2,48,
08-01-1918,0,9,
09-01-1918,-1,91,
10-01-1918,-1,26,
11-01-1918,0,53,
12-01-1918,0,52,
01-01-1919,1,95,
02-01-1919,0,53,
03-01-1919,0,35,
04-01-1919,0,36,
05-01-1919,0,47,
06-01-1919,-1,34,
07-01-1919,0,72,
08-01-1919,1,19,
09-01-1919,0,3,
10-01-1919,0,3,
11-01-1919,0,48,
12-01-1919,1,37,
01-01-1920,0,52,
02-01-1920,0,9,
03-01-1920,0,3,
04-01-1920,0,95,
05-01-1920,0,82,
06-01-1920,1,2,
07-01-1920,0,9,
08-01-1920,-2,5,
09-01-1920,-1,63,
10-01-1920,0,77,
11-01-1920,0,42,
12-01-1920,0,87,
01-01-1921,1,5,
02-01-1921,-1,26,
03-01-1921,0,81,
04-01-1921,0,37,
05-01-1921,-1,71,
06-01-1921,1,19,
07-01-1921,0,86,
08-01-1921,1,21,
09-01-1921,0,91,
10-01-1921,0,1,
